move_sequence,result,evaluations,using_stockfish,stockfish_playing_as,stockfish_depth,timestamp
"d2d4,b8c6,g1f3,e7e5,e2e4,g8f6,c2c4,d7d5,b1c3",,"15.997697830200195,15.997697830200195,15.997697830200195,15.997697830200195,15.997697830200195,15.997697830200195,15.997697830200195,15.997697830200195,15.997697830200195",False,,,2025-03-08 18:55:38
"e2e4,e7e5,d2d4",,"15.997697830200195,15.997697830200195,15.997697830200195",False,,,2025-03-08 18:55:41
