move_sequence,result
d4 Nf6 Nc3 d5 Bf4 c5 e3 cxd4 exd4 Bg4 Be2 Bxe2 Qxe2 Nc6 O-O-O e6 g4 Bb4 Qe3 Rc8 Nge2 Na5 Kb1 Nc4 Qd3 Qa5 Bc1 Rc6 g5 Nd7 h4 O-O h5 Rfc8 Rh3 Na3+ Ka1 Bxc3 Nxc3 b5 g6 b4 gxf7+ Kh8 h6 g6 Rf3 bxc3 bxa3 Qb6 Qe3 Rf8 Rd3 e5 dxe5 Nc5 Qd4 Nxd3 Rxd3 Qxd4 Rxd4 Rxf7 Rxd5 Kg8 Be3 Rb7 a4 Kf7 a3 Ke6 Rb5 Rxb5 axb5 Rc7 Ka2 Kxe5 Kb3 Ke4 a4 Kf3 a5 g5 Kb4 g4 b6 axb6 axb6 Rc8 Bc5 Ke2 Bd4 Kd2 Kb3 Ke2 Be3 Kd1 Bf4 Rc6 Bc7 Rc5 Kb4 Rc6 b7 Rxc7 b8=Q Rf7 Kb3 Rxf2 Qg3 Rxc2 Qg1+,1-0
e4 e5 f4 d5 Nf3 dxe4 Nxe5 Bd6 Nc3 Nf6 d4 exd3 Bxd3 O-O O-O Nc6 Nxc6 bxc6 Qf3 Bg4 Qf2 Re8 Be3 Be6 h3 Bd5 Rae1 a5 Bd4 Rxe1 Rxe1 a4 a3 h6 Be5 Be6 Kh2 Nd7 Bxd6 cxd6 f5 Bd5 Nxd5 cxd5 Qd4 Nf6 Re3 Rb8 Rg3 Kf8 Be2 Qb6 Qxb6 Rxb6 b4 axb3 cxb3 Ne4 Re3 Nc5 b4 d4 Rf3 Ne4 Rd3,1-0
Nf3 d5 g3 Nc6 d4 Bf5 Nh4 Bg4 h3 Bh5 Ng2 f6 Nf4 Bf7 c4 e6 cxd5 exd5 Nc3 Bb4 Bg2 Nge7 O-O O-O Qb3 a5 Rd1 Qd7 Ncxd5 Kh8 Qf3 Nxd5 Nxd5 Rfd8 Nxb4 Nxb4 Bf4 c6 Rd2 Nxa2 d5 Nb4 dxc6 Qxc6 Rxa5 Qxf3 Bxf3 Nc6 Rxa8 Rxa8 Rd7 Be6 Rxb7 Nd4 Kg2 Nxf3 exf3 Kg8 g4 Bd5 Rb5 Bc6 Rc5 Ra6 Kg3 Rb6 Be3 Ra6 h4 Be8 Bd4 Rc6 Ra5 Rc7 f4 h6 g5 hxg5 fxg5 fxg5 hxg5 Kh7 f4 Rb7 Bc3 Bb5 f5 Bd3 Kf4 Rc7 g6+ Kh6 Rd5 Bb1 Rd1 Rc4+ Bd4,1-0
e3 d5 c4 c6 Nc3 Nf6 Nf3 Bf5 cxd5 Nxd5 d4 e6 Bd3 Bxd3 Qxd3 Be7 e4 Nf6 O-O O-O Bf4 Nbd7 Rad1 Re8 h4 a5 e5 Nd5 Nxd5 cxd5 Ng5 Bxg5 Bxg5 Qb6 Qg3 Kh8 Qf4 Kg8 h5 Rac8 h6 g6 Rd3 Qxb2 Rf3 Rf8 Be7 Qxa2 Bxf8 Rxf8 Rc1,1-0
Nf3 Nf6 g3 e6 Bg2 Be7 O-O O-O d3 d5 Nc3 d4 Nb5 c5 a4 Nc6 e4 dxe3 Bxe3 Nd5 Bd2 Bf6 c3 b6 Re1 Bb7 h4 h6 Nh2 Be7 Ng4 Kh7 Nxh6 gxh6 Qh5 Nf6 Qxh6+ Kg8 Bg5 Re8 Re4 Nxe4 Bxe4 Bxg5 hxg5 Ne5 Qh7+ Kf8 Bxb7 Rb8 Qh8+ Ke7 Qf6+ Kf8 Qxe5 Rxb7 Nd6 Rd7 Nxe8 Qxe8 Qh8+ Ke7 Qf6+ Kd6 d4 Kc6 Rd1 c4 d5+ Kb7 Qf3 Ka6 dxe6 Rxd1+ Qxd1 Qxe6 Kg2 Ka5 f4 Qe4+ Kf2 Qf5 Kf3 Qe6 g4 Qc6+ Kg3 Qe4 Qf3 Qe1+ Qf2 Qe4 f5 Qe5+ Kh3 Qe4 g6 fxg6 f6 Qd3+ Kh4 Qd6 Kg5 Qf8 f7 Kxa4 Qc2+ Kb5 Qxg6 Ka4 Qc2+ Kb5 Qf5+ Ka4 Kg6 Kb3 g5 Kxb2 Kh7 Kxc3 g6 Qe7 g7 Qh4+ Kg8 Qd4 f8=Q,1-0
d4 Nf6 Nc3 d5 Bf4 e6 Nb5 Na6 e3 Be7 h4 O-O Nf3 c6 Nc3 Qa5 Bd3 Nb4 Be2 Ne4 O-O c5 Ng5 Nf6 Nb5 Bd7 a4 c4 c3 Nc6 b3 cxb3 Qxb3 h6 Nf3 Ne4 Rfc1 Rac8 Bd3 Qd8 Bxe4 dxe4 Nd2 f5 Nc4 Na5 Nxa5 Qxa5 Nd6 Bxd6 Bxd6 Rf7 c4 Qd8 Bg3 g5 Be5 gxh4 Qxb7 Qg5 Kh2 Kh7 Rg1 Rg8 Rab1 Qh5 Qb2 Bxa4 Qd2 Be8 Bf4 Qg6 Be5 Qh5 d5 exd5 cxd5 Qg5 d6 Bd7 Bf4 Qf6 Qd4 Qe6 Rb7 Rfg7 Be5 Rf7 Bf4 Rfg7 Be5 Rg4 Rxa7 h5 Bf4 R8g7 Be5 Rg8 Rc7 Kh6 Bf4+ Kh7 Qe5 R8g7 Qxe6 Bxe6 Re7 Rf7 Rxe6,1-0
d4 Nf6 Nc3 d5 Bf4 g6 h4 Bg7 e3 h5 Nf3 O-O Be2 c5 dxc5 Qa5 Nd2 Qxc5 Nb3 Qb6 a4 Nc6 O-O Qd8 a5 a6 Bf3 Bf5 Nd4 Nxd4 exd4 Rc8 Qd2 e6 Rfe1 Qe7 Ra4 Qd7 Rb4 Rfe8 Be5 Rc6 Ra1 Rec8 Ra3 Ne8 Bxg7 Kxg7 Qf4 Qd6 Qxd6 Nxd6 Bd1 R8c7 f3 Nc4 Ra2 Nxb2 Rbxb2 Rxc3 Kf2 Kf6 Ke2 g5 hxg5+ Kxg5 Kd2 h4 Be2 Kf4 Bd1 Kg3 Rxb7 Rxb7 Kxc3 Kxg2 Be2 h3 Bxa6 Rc7+ Kb4 h2 c4+ Kg3 Rxh2 Kxh2 c5 e5 Kb5 exd4 Kb6 Re7 c6 d3 Bxd3 Bxd3 c7 Ba6,0-1
d4 d5 Nc3 Nf6 Bf4 Bf5 f3 e6 g4 Bg6 h4 h5 g5 Nfd7 Nb5 Na6 e3 Be7 Bd3 O-O Bxg6 fxg6 Ne2 c6 Nbc3 Qb6 Qd3 Rf5 a3 e5 Bg3 Qxb2 O-O Qb6 Rab1 Qc7 e4 dxe4 Nxe4 Kh7 Bh2 Rd8 Qb3 Qa5 Qe6 Bf8 Rxb7 exd4 Rxd7 Rxd7 Qxd7 Nc5 Qxd4 Nxe4 Qxe4 Qxa3 Kg2,1-0
d4 Nf6 c4 e6 Nc3 Bb4 e3 O-O a3 Bxc3+ bxc3 b6 f3 d5 cxd5 exd5 Bd3 c5 Ne2 Nc6 O-O Be6 Ra2 Rc8 Nf4 Na5 Re2 cxd4 cxd4 Nc4 g4 h6 h4 Ne8 Qe1 Ned6 Rg2 Kh8 a4 Qd7 g5 Bf5 Be2 Qxa4 Qg3 Rg8 Nxd5 Be6 Ne7 Nf5 Nxf5 Bxf5 e4 Bg6 gxh6 gxh6 Qf4 Rg7 h5 Qd7 d5 Qh3 hxg6 Rxg6 Rxg6 fxg6 Qxh6+ Qxh6 Bxh6,1-0
Nf3 Nf6 g3 c5 Bg2 Nc6 c4 d5 cxd5 Nxd5 Nc3 Nxc3 bxc3 e5 O-O Be7 d3 O-O Rb1 Qc7 Nd2 Be6 c4 Rac8 Ne4 b6 Nc3 Qd7 Nd5 Bd6 a4 f5 Bd2 Ne7 a5 Bxd5 cxd5 b5 a6 Rb8 Qb3 Rfc8 Rfc1 h6 e4 fxe4 Bxe4 Nf5 Be3 c4 dxc4 bxc4 Qc3 Rxb1 Bxb1 Nxe3 Qxe3 Qg4 Kg2 Qd4 Qe2 Qxd5+ Be4 Qe6 Qf3 Qf6 Qg4 Rf8 f3 Bc5 Rxc4 Bd4 Rc7 Kh8 h4 Bb6 Rb7 Bd4 Kh3 Rf7 Rb8+ Rf8 Qg6 Kg8 Bd5+ Kh8 Qxf6,1-0
