move_sequence,result
e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 g6 g4 Bg7 g5 Nh5 Be3 Nc6 Nb3 Be6 f4 Rc8 f5 Bxb3 axb3 Be5 Bxh5 gxh5 Nd5 e6 fxe6 fxe6 Qxh5+ Kd7 Qf7+ Ne7 Nb6+ Kc7 Nxc8 Kxc8 Qxe6+ Kb8 O-O Nc6 Rf7 Nd4 Qd5 Nc6 Rxa6 Bd4 Rxb7+,1-0
e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e6 a4 Qc7 Qe2 Be7 O-O O-O a5 Bd7 Be3 Rc8 Bb3 Nc6 Nxc6 Qxc6 Bd4 Bd8 Rfd1 e5 Be3 Be6 Bg5 Nd7 Bxd8 Rxd8 Nd5 Bxd5 Bxd5 Qc7 c3 Nf6 Rd3 Rab8 Rd2 g6 g3 Kg7 Kg2 h5 h4 Rdc8 Ra4 Qe7 Qd3 Rc5 Ba2 Rd8 b4 Rcc8 Ra3 Qd7 Bd5 Rc7 c4 Rdc8 Rc2 Nxd5 exd5 Qg4 Rac3 Qd4 Qe2 e4 Qe3 Qxe3 fxe3 Kf6 Kf2 Ke5 Ke1 f6 Kd1 g5 Kc1 gxh4 gxh4 Rg8 Rd2 f5 Kc2 Rg4 c5 Rg8 Kb3 Rgc8 Rc4 dxc5 d6 Rc6 bxc5 Ke6 Kb4 Rg8 Rcd4 Kd7 Rd5 Rf8 Re5 Rcc8 Re7+ Kc6 Kc4 Rfd8 Rb2 b5+ axb6,1-0
d4 Nf6 Nf3 g6 c4 Bg7 g3 c6 Bg2 d5 b3 O-O O-O dxc4 bxc4 c5 Bb2 cxd4 Nxd4 Qb6 Qc1 Nc6 Nxc6 bxc6 Nd2 Qa6 Be5 Bg4 Re1 Rad8 Nb3 Be6 Nd4 Qxc4 Nxc6 Qxc1 Raxc1 Rd7 a4 Bd5 Bxd5 Nxd5 Red1 Re8 e4 Nb6 Rxd7 Nxd7 Bxg7 Kxg7 Nxa7 Ra8 Rc7 Nf6 f3 e6 a5 Ne8 Rd7 Nf6 Rb7 Ne8 e5 g5 Nc6 Rc8 Rb6,1-0
e4 e5 Nf3 Nc6 Bc4 Bc5 O-O Nf6 d3 d6 c3 a5 Re1 O-O h3 h6 Bb3 Be6 Bc2 Ba7 Nbd2 d5 exd5 Qxd5 Qe2 Rfe8 Nf1 Rad8 Ng3 b5 Be3 Bxe3 Qxe3 Bc8 Ne4 Nxe4 dxe4 Qd6 Rad1 Qe7 Rd5 b4 Ba4 Bb7 Bxc6 Bxc6 Rxa5 Qd6 Qc5 bxc3 Qxc3 f6 Rc5 Re6 b4 Rb8 Nh4 Kh7 Nf5 Qd7 a4 Rc8 b5 Ba8 a5 Ree8 f3 c6 b6 Bb7 Qb3 Red8 Rcc1 c5 Red1 c4 Rxd7 cxb3 Rxg7+ Kh8 Rb1 Ba6 Rxb3 Rc2 Rc7 Ra2 b7 Rg8 Ne3,1-0
e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 d3 d6 c3 g6 O-O Bg7 Re1 O-O Nbd2 Re8 h3 h6 Nf1 b5 Bc2 Rb8 d4 exd4 cxd4 Nb4 Bb1 c5 d5 a5 a3 Na6 a4 bxa4 Qxa4 Rb4 Qxa5 Qxa5 Rxa5 Nxe4 Bd2 f5 Bxb4 Nxb4 N1d2 Bxb2 Bxe4 fxe4 Rxe4 Rf8 Nc4 Bg7 Nxd6 Bf5 Nxf5,1-0
e4 c5 Nf3 d6 Bc4 Nc6 O-O Nf6 d3 Bg4 h3 Bh5 g4 Bg6 Nh2 e5 Nc3 Be7 f4 exf4 Bxf4 Nd7 Qd2 Nde5 b3 h6 Nd5 Bg5 Nf3 Nxf3+ Rxf3 O-O Raf1 Ne5 R3f2 a6 a4 Rb8 a5 Nc6 Bxg5 Qxg5 Qxg5 hxg5 h4 gxh4 g5 Rfe8 Nf4 Ne5 Bd5 Re7 Rh2 Bh7 Rxh4 g6 Kf2 Kg7 Rfh1 Bg8 Ke3 Nc6 Bc4 Nd4 R4h2 Re5 Rg2 Nc6 Ra1 Rbe8 Nd5 Rd8 Nf6 Nd4 c3 Nc6 Kf4 Re7 Rh2 Rb8 Rah1 Rd8 Bd5 Rc8 Rh7+,1-0
e4 c6 c4 d5 cxd5 cxd5 e5 Nc6 d4 Bf5 Bd3 Bxd3 Qxd3 e6 Nf3 Nge7 O-O Nf5 Nc3 Be7 g3 O-O h4 a6 Kg2 Rc8 h5 f6 exf6 Bxf6 Ne2 Qb6 Rd1 Nb4 Qb3 Qb5 Nf4 Rc6 Rb1 Nc2 Qxb5 axb5 Ne2 Rfc8 Bf4 h6 Rd2 Nb4 a3 Na6 Ne5 Rc2 Rbd1 b4 g4 Ne7 Nd7 Kf7 Nxf6 Kxf6 Be5+ Kf7 Nf4 bxa3 bxa3 Rxd2 Rxd2 Nc6 Ng6 Nxe5 Nxe5+ Ke7 Rb2 Rc7 a4 Nb8 a5 Nd7 Kf3 Nxe5+ dxe5 Kd7 Rb6 Ke7 Ke3 Kd7 f4 Rc3+ Kd2 Rc4 Rxb7+ Kc6 Rxg7 Rxf4 a6 Kc5 a7 Ra4 g5 hxg5 h6 Kd4 h7 Ra2+ Kc1 Kc3 Rc7+ Kd3 h8=Q Ra1+ Kb2,1-0
e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 O-O O-O h3 h6 c3 d6 Nbd2 a5 Re1 Be6 Bxe6 fxe6 Nf1 a4 Rb1 b5 Be3 Bxe3 Rxe3 Qe8 d4 Nd7 Qe2 Rb8 Rd1 Na5 b3 axb3 axb3 b4 dxe5 Nxe5 Nxe5 dxe5 Nd2 Nc6 Nf3 bxc3 Rxc3 Rb4 Qc2 Nd4 Nxd4 exd4 Rxc7 e5 Ra1 Rb6 Qc5 Rbf6 Raa7 Rg6 Re7 Qb8 Qxe5 Qxe5 Rxe5 Rc8 Rd7,1-0
e4 e6 d4 d5 exd5 exd5 Nf3 Bd6 c4 Nf6 c5 Be7 Qa4+ c6 Bd3 O-O O-O Ne4 Nc3 f5 Qc2 Nd7 b4 Bf6 Rb1 Re8 Ne2 g5 b5 Nf8 bxc6 bxc6 Ne5 Bxe5 dxe5 Ne6 f3 Qa5 Be3 N4xc5 Bxf5 Ba6 Bxh7+ Kh8 Bf5 Rf8 Bxe6 Nxe6 Qxc6 Rae8 Nd4 Bxf1 Nxe6 Bd3 Rd1 Rg8 Nxg5 Qa6 Qxa6 Bxa6 Rxd5 Re7 e6 Rb8 Bd4+ Kg8 h4 Bc4 Rd6 Bxa2 Bf6 Reb7 h5 a5 h6 Bb1 e7 Re8 Ra6 Rb5 g4 Bc2 f4 a4 f5,1-0
e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Bc5 c3 Nge7 O-O Ng6 d4 Ba7 Bg5 f6 Be3 O-O Re1 Kh8 h3 d6 Nbd2 exd4 Nxd4 Nxd4 Bxd4 Bxd4 cxd4 f5 e5 b5 Bb3 dxe5 dxe5 Bb7 Nf3 Qe7 e6 Rad8 Qe2 Be4 Qe3 c5 Ng5 c4 Nf7+ Rxf7 exf7 Qxf7 Rad1 Rf8 f3 cxb3 fxe4 bxa2 exf5 Qxf5 Ra1 Qd5 b3 h6 Rxa2 Rf6 Rf2 Rc6 Rd2 Qf5 Qe8+,1-0
d4 d5 c4 e6 Nf3 a6 g3 dxc4 Bg2 b5 O-O Bb7 a4 Nf6 axb5 axb5 Rxa8 Bxa8 Nc3 b4 Qa4+ Bc6 Nb5 Nfd7 Qa5 Bxb5 Qxb5 Bd6 Bg5 Qc8 Qxc4 O-O Rc1 Nb6 Qd3 N8d7 e4 Re8 Qb5 Qb8 Bd2 b3 Qxb3 c5 Be3 cxd4 Bxd4 Bf8 h4 h6 Bf1 Rc8 Rxc8 Qxc8 Bb5 Qc7 Kg2 Nc5 Qc3 Qd6 Qc2 Ncd7 Qc6 Qb8 Ne5 Nxe5 Qxb6 Qa8 f3 Ng6 h5 Ne7 Bc3 Qa1 g4 Qc1 Qd4 Qc2+ Qd2 Qb3 Be2 Nc6 Qd1 Qb6 f4 Nb4 Bf3 Qb5 Qe2 Nd3 Kg3 Qd7 e5 Bc5 Be4 Nf2 Bc2 Qc6 Qf3 Qe8 Kg2 Qd8 f5 Bb6 fxe6 fxe6 Qc6 Kh8 Qxe6 Nd3 Qf5 Qd5+ Kf1 Qh1+ Ke2 Nc1+ Kd2 Qd5+ Kxc1 Be3+ Kb1 Qh1+ Ka2 Qa8+ Kb3 Qd5+ Ka4 Qc6+ Ka3 Qc5+ Ka2 Qd5+ Bb3 Qa8+ Kb1 Qh1+ Kc2 Qc1+ Kd3 Bc5 Qc8+,1-0
e4 d5 exd5 Qxd5 Nc3 Qd8 d4 c6 Nf3 Bf5 Nh4 Bg6 Nxg6 hxg6 g3 e6 Bg2 Nf6 O-O Be7 Ne2 O-O c4 a5 Qb3 Qd7 Be3 a4 Qc2 a3 Rab1 Qc8 Qb3 axb2 Rxb2 Nbd7 Qxb7 Qxb7 Rxb7 Rxa2 Nc1 Ra6 Nd3 Rc8 Ne5,1-0
b3 d5 Bb2 Bg4 h3 Bh5 g3 Nf6 Bg2 e6 Nf3 Nbd7 d3 Bd6 g4 Bg6 Nh4 Qe7 a3 a5 e3 c6 Nd2 O-O O-O Rfe8 f4 h6 e4 e5 f5 Bh7 Nhf3 g6 Kh1 gxf5 gxf5 Kh8 Nh2 Rg8 Qe2 Rg3 Rf3 Nh5 Ndf1 Rag8 Nxg3 Nxg3+ Rxg3 Rxg3 Ng4 h5 Nh2 Qh4 Nf3 Qe7 Bc3 b6 Be1 Rg8 Bh4 f6 Nh2 Qf7 b4 axb4 axb4 Nf8 Bf3 Bxb4 Bxh5 Qg7 Ng4 Be7 Ra7,1-0
b3 d5 Bb2 Nf6 d3 c5 Nd2 Nc6 Ngf3 Qc7 g3 e5 e4 d4 Bg2 Be7 O-O h6 c3 dxc3 Bxc3 Be6 Nc4 Nd7 Ne3 Nf6 Qc2 O-O Qb2 Nd4 Rac1 Qd6 Bxd4 cxd4 Nc4 Bxc4 Rxc4 b5 Rc2 Nd7 Rfc1 Qa3 Qb1 Bd6 Bh3 Nc5 Nxe5 Nxb3 axb3 Bxe5 f4 Bd6 e5 Be7 Bf5 a5 Be4 Rab8 Rc7 a4 R1c2 Rfd8 Kg2 Bb4 e6 fxe6 Qd1 Bd6 Ra7 Qxb3 Qe2 Rbc8 Rb2 Qc3 Kh3 Rc5 Qg4 Rc7 Qxe6+ Kf8 Qf5+ Kg8 Qd5+ Kf8 Qf5+ Kg8 Qe6+ Kf8 Rxb5,1-0
b3 Nf6 Bb2 g6 Bxf6 exf6 g3 Bg7 Bg2 O-O e3 d5 Ne2 c6 d4 f5 O-O Be6 Nd2 Nd7 Nf4 Nf6 c4 Ne4 Rc1 dxc4 Nxe4 fxe4 Nxe6 fxe6 Rxc4 Qa5 Qc2 Rad8 Bxe4 e5 Rc5 Qb4 d5 cxd5 Bxd5+ Kh8 e4 Qd4 Bxb7 Bh6 Rd5 Rxd5 Bxd5 Bd2 Kg2 Kg7 Qc4 Qxc4 Bxc4 Bb4 Rd1 Bc5 Rd7+ Kh6 f3 Bd4 h4 Rc8 g4 g5 f4 gxf4 g5+ Kg6 Kh3 Rf8 Rd6+ Kg7 h5 f3 Rd7+ Kh8 g6 hxg6 hxg6,1-0
b3 g6 Bb2 Nf6 Bxf6 exf6 g3 Bg7 Bg2 O-O e3 d5 Ne2 c6 O-O Be6 Nf4 Nd7 d4 f5 Nd2 Nf6 c4 Ne4 Rc1 Rc8 Nxe4 dxe4 Nxe6 fxe6 Qd2 Qe7 Rfd1 Rfd8 Qa5 b6 Qa6 c5 d5 exd5 cxd5 Rc7 Bf1 Be5 Bb5 Bd6 b4 cxb4 Rc6 Kg7 Qa4 Bc5 Qc2 Rxc6 dxc6 Rxd1+ Qxd1 Bd6 Bc4 Qe5 Qb3 Qc3 Qd1 Qe5 Bd5 b5 Bb3 a5 c7 Bxc7 Qd7+ Kh6 Bd5 a4 Kg2 Bd6 Be6 b3 axb3 a3 b4 Bxb4 h4 Qd6 Qc8 Qf8 Qb7 Qe7 Qc8,1-0
b3 d5 Bb2 Bf5 d3 e6 Nd2 Nf6 g3 h6 Bg2 Be7 e4 Bh7 Nh3 O-O O-O c6 Qe2 a5 a3 Na6 f4 a4 b4 Re8 c4 Qb6+ Kh1 dxe4 dxe4 Rad8 Nf2 Rd7 c5 Qb5 Nc4 Red8 Rfe1 Nc7 Bf1 Qa6 Qf3 Nb5 e5 Nd5 Nd6 b6 Nfe4 Bxe4 Qxe4 bxc5 bxc5 Qa5 Bd3 g6 Nxf7 Bf8 Qxg6+ Bg7 Nxd8 Qxd8 Qxe6+ Kf8 Bxb5 Nc7 Qf5+ Rf7 Qe4 Nxb5 e6 Bxb2 exf7,1-0
b3 Nf6 Bb2 g6 Bxf6 exf6 g3 Bg7 Bg2 f5 d4 O-O e3 d6 Ne2 c6 c4 Nd7 Nbc3 Nf6 O-O Bd7 b4 Qc7 Rc1 h5 h4 Rfe8 b5 Qa5 Qb3 Rec8 a4 Rc7 Nf4 Rac8 Rc2 Bh6 Nd3 Be6 Rfc1 g5 hxg5 Bxg5 bxc6 bxc6 Ne1 Qa6 Nf3 Bh6 Bf1 Rb7 Qa3 Bf8 d5 Bd7 a5 c5 Bd3 Rb4 Nh4 Rcb8 Qa2 Ne4 Nb5 Bg7 Kg2 Bf6 Rh1 Kg7 Qa3 Rh8 Ra2 Be5 Qc1 Qc8 Qc2 Qe8 Nxa7 Qe7 Nc6 Qf6 Bxe4 fxe4 Qxe4 Bc3 Nxb4 cxb4 a6 b3 Ra3 b2 a7 Ra8 Qc2 Be5 f4,1-0
b3 d5 Bb2 Bf5 d3 Nf6 Nd2 e6 g3 h6 Bg2 Bh7 e4 c5 Nh3 Nc6 O-O dxe4 dxe4 Be7 f4 O-O c4 Qa5 Qc1 Rfd8 Bc3 Qb6 e5 Ng4 Re1 Nb4 Be4 Bf5 Re2 Rd7 a3 Nd3 Qc2 Rad8 Rf1 Nb4 Qb1 Nd3 Kg2 h5 Ng1 Bxe4+ Nxe4 Qc6 Nf3 b5 Qc2 bxc4 bxc4 Nh6 Be1 Nf5 Bf2 Nxf2 Kxf2 Rd3 Qb1 Rxa3 Rd1 Rxd1 Qxd1 a5 Ne1 Nd4 Re3 Rxe3 Kxe3 a4 Qa1 Qa8 Qa3 g6 Qa2 Kg7 Nd3 Nf5+ Kf3 Qa6 Ndxc5 Bxc5 Nxc5 Qc6+ Ne4 Qa8 c5 a3 c6 Nd4+ Kf2 Nxc6 Nd6 Nb4 Qc4 a2 Qc7 Qf8 Qa7 Kg8 Kg2,1-0
b3 Nf6 Bb2 e6 e3 b6 Nf3 Bb7 g3 Be7 Bg2 O-O O-O c5 Qe2 d5 c4 Nc6 Rd1 Qc7 d4 cxd4 exd4 Rac8 Nbd2 dxc4 bxc4 Na5 Rac1 Ba6 Bf1 Rfd8 Qe3 Qd7 Ne5 Qa4 Re1 Bb4 Bc3 Bxc3 Rxc3 Qxa2 Rec1 Qa4 Ndf3 h6 Bd3 Nc6 Ra3 Qxa3 Bh7+ Nxh7 Qxa3 Bb7 Nxc6 Bxc6 Ne5 Be8 Qxa7 Rxd4 Qxb6 Rd2 h4 Nf6 c5 Rd5 f4 Nd7 Qb7 Rcxc5 Rxc5 Nxc5 Qe7 Bb5 Qxf7+ Kh7 Qg6+ Kg8 Qc2 Bd3 Qb2 Bf5 g4 Rd1+ Kh2 Be4 Qb4 Rh1+ Kg3 Rg1+ Kf2 Rg2+ Kf1 Rc2 g5 hxg5 fxg5 g6 Qb8+ Kg7 Qc7+ Kg8 Qd8+ Kh7 Qe7+ Kh8 Nxg6+ Bxg6 Qf8+ Kh7 Qh6+ Kg8 Qxg6+ Kf8 Qxc2,1-0
b3 d5 Bb2 c5 e3 a6 c4 d4 exd4 cxd4 Nf3 Nc6 d3 e5 a3 Bd6 b4 Nf6 g3 O-O Bg2 Bf5 O-O Re8 Re1 h6 Qb3 Qd7 Nbd2 Bc7 Qc2 Bh3 Bh1 Re7 Nb3 Rae8 Nc5 Qc8 Nd2 Bd6 Nce4 Nxe4 Nxe4 Bb8 Rac1 f5 Nc5 Ba7 Nb3 e4 dxe4 fxe4 c5 d3 Qc3 Bb8 Re3 Be5 Qd2 Bxb2 Qxb2 Qf5 Nd2 Rf8 Nxe4 Kh8 Rce1 Qd7 Nd6 Rxe3 Rxe3 Nd8 Rxd3 Qe6 Re3 Qg6 Be4 Qg5 Bg2 Bxg2 Kxg2 Qd5+ Ne4 Ne6 Qb3 Qc6 Qd3 Ng5 h4 Nf7 Rf3 Kg8 Qc4 Qd7 Nd6 b5 Qd5,1-0
b3 d5 Bb2 Bg4 h3 Bh5 g3 Nc6 d4 e6 Bg2 Nf6 Nd2 Be7 Ngf3 O-O O-O a5 a3 Nb8 c4 c6 g4 Bg6 Ne5 Nfd7 Nxg6 hxg6 e3 Na6 f4 Nc7 Qe2 f5 g5 Ne8 c5 Nc7 h4 Kf7 h5 Rh8 hxg6+ Kxg6 Kf2 Kf7 Rh1 g6 Nf3 Qg8 a4 Na6 Bc3 Nb4 Qd2 Rxh1 Rxh1 Qg7 Bxb4 axb4 Qxb4 b6 Ne5+ Nxe5 fxe5 Rb8 a5 b5 a6 Ra8 Qa3 Bxg5 a7 Kg8 Qa6 Qc7 Ra1 Bd8 Bf1 Kg7 Bd3 g5 Ke2 g4 Kd2 Bg5 Qb6 Bd8 Ra6 Kf7 Qxc7+ Bxc7 Ke2 Ke7 Rxc6 Rxa7 Bxb5 Bd8 Ra6 Rxa6 Bxa6 Ba5 Bc8 Bb4 c6 Ba5 b4 Bxb4 c7 Ba5 Bxe6 Bxc7 Bxf5 g3 Kf3 Ba5 Kxg3 Bd2 Kf3 Bc1 Ke2 Bb2 Bh7 Kd7 Kd3 Ba1 Bg8 Kc6 Be6 Bb2 Bg4 Kc7 Bf3 Kc6 e4 dxe4+ Kxe4 Kd7 Kd5 Ke7 Kc4 Ba1 Bg4 Bb2 Kd5 Ba3 Ke4 Bb2 d5 Ba3 Kd3 Kd8 d6 Bb2 Ke4 Ba3 Kd5 Ke8 e6 Kd8 e7+ Ke8 Ke6 Bxd6 Bh5#,1-0
b3 d5 Bb2 Bg4 d3 Nc6 h3 Bh5 Nd2 e5 Ngf3 f6 e3 Bd6 Be2 Nge7 Nxe5 Bxe2 Nxc6 Bxd1 Nxd8 Bxc2 Nxb7 Bxd3 Nxd6+ cxd6 Nf3 Kd7 Kd2 Be4 Nd4 Nc6 Ne2 Rhc8 f3 Bg6 Rhc1 Nb4 Rxc8 Rxc8 Bc3 Nc6 h4 h5 b4 Ne5 Nf4 Bf7 Bd4 Nc4+ Ke2 a6 a3 Ne5 Kd2 Nc4+ Ke1 Ne5 a4 Rc2 b5 axb5 axb5 Rxg2 Ra7+ Ke8 Nxg2,1-0
b3 e5 Bb2 Nc6 e3 Nf6 Bb5 Bd6 Na3 e4 Bxc6 bxc6 Nc4 Be7 f3 exf3 Qxf3 O-O Ne2 Rb8 O-O Rb5 Nd4 Rg5 h4 Rh5 Nf5 Rxf5 Qxf5 d5 Qe5 dxc4 bxc4 Re8 d3 Ba3 Qd4 Bxb2 Qxb2 Ng4 Qd4 Qxh4 Qf4 f6 Rf3 Qh5 Rb1 Qe5 Rb8 Qxf4 Rxf4 Ne5 Ra8 a6 Ra7 Kf7 Rxc7+ Kg6 Rf1 Be6 Rb1 h5 Rbb7 Rg8 Kf2 h4 Re7 Bf5 e4 Bg4 Ke3 Bd1 Kd2 Bh5 Ra7 Kh6 Kc3 g6 Rxa6 Kg5 d4 Ng4 Rxc6 Kf4 d5 Ne5 Rxf6+ Kg5 Rf1 Ng4 Kd4 Ra8 d6,1-0
b3 e5 Bb2 Nc6 e3 Nf6 Bb5 e4 f3 a6 Bxc6 dxc6 Nc3 Qe7 fxe4 Nxe4 Qf3 Nxc3 Bxc3 Bd7 Ne2 O-O-O O-O-O f6 h3 Qa3+ Kb1 Bd6 g4 Rhe8 Bb2 Qa5 e4 Be5 d4 Bd6 Nc1 c5 d5 c4 bxc4 Qb4 Rd4 c5 dxc6 Bxc6 Qf5+ Bd7 Qxh7 Qb6 Nb3 Be5 Rd3 a5 Qxg7 Bxb2 Kxb2 a4 Rhd1 axb3 Rxd7 bxa2+ Ka1,1-0
b3 e5 Bb2 Nc6 e3 a6 Nf3 e4 Nd4 Nxd4 Bxd4 Nf6 d3 exd3 Bxd3 d5 O-O Bd6 c4 Bxh2+ Kxh2 Ng4+ Kg3 dxc4 Be2 h5 Bxg4 hxg4 Rh1 Qd6+ f4 gxf3+ Kf2 Rxh1 Qxh1 fxg2 Qh8+ Ke7 Qxg7 Qh2 Qxg2 Qxg2+ Kxg2 cxb3 axb3 Be6 Nd2 b6 b4 Bd5+ Kf2 Bb7 Rc1 Kd7 Be5 c6 Nc4 Ke6 Bf4 Rd8 Ke1 b5 Na5 Ba8 Nxc6 Bxc6 Rxc6+ Kd5 Rxa6 Kc4 Rd6 Rb8 Rd4+,1-0
d4 Nf6 Bg5 d5 e3 c5 c3 Nc6 Nd2 e6 Bd3 Be7 f4 b6 Ngf3 Bb7 Qe2 h6 Bxf6 Bxf6 Ne5 O-O O-O Bxe5 fxe5 f5 exf6 Rxf6 Rxf6 Qxf6 Rf1 Qe7 Qf3 a5 Bg6 Ba6 Rf2 Rd8 h4 Bb7 Bc2 e5 Qf5 e4 Nxe4 Nxd4 Nf6+ gxf6 exd4 Kh8 Qg6 Qg7 Rxf6 cxd4 Qxh6+ Qxh6 Rxh6+ Kg8 Rxb6 d3 Bxd3,1-0
b3 e5 Bb2 Nc6 e3 Nf6 Bb5 e4 f3 a6 Bxc6 dxc6 Nc3 Bf5 f4 h5 Qe2 Qd7 Qf1 O-O-O O-O-O h4 Nge2 Bc5 h3 Kb8 Qf2 Qe7 Kb1 Rd7 g4 hxg3 Nxg3 Qe6 Nxf5 Qxf5 Qg2 Rhd8 Qxg7 Rxd2 Rxd2 Rxd2 Qg5 Qxg5 fxg5 Nh5 Nxe4 Rd5 h4 Bxe3 Nf6 Nxf6 Bxf6 Kc8 h5 Bxg5 Bg7 f5 h6 Bxh6 Bxh6 c5 Bf4 Rd4 Rh8+ Kd7 Rh7+ Ke6 Bxc7 f4 Kc1 Kf5 Bb6 Rd5 c4 Re5 Rh5+ Ke4 Rxe5+ Kxe5 Bxc5,1-0
b3 d5 Bb2 Nf6 d3 c5 Nd2 Nc6 Ngf3 Bg4 h3 Bf5 g4 Bg6 Nh4 e6 e3 Be7 Bg2 Qc7 a3 O-O O-O Nd7 Nxg6 hxg6 c4 Bf6 Bxf6 Nxf6 g5 Nd7 f4 Ne7 Qf3 Rfd8 Qf2 Nb6 Rac1 dxc4 dxc4 Nf5 Rfe1 Rd3 Be4 Rd7 Nf3 Rad8 h4 Nc8 Bc2 Nce7 Re2 Qa5 Qe1 Qc7 Kf2 a6 Qc3 b5 cxb5 axb5 Be4 Rc8 a4 bxa4 bxa4 Nd5 Qe5 Qxe5 Nxe5 Ra7 Bc2 Nb4 Bb3 Kf8 Rd2 Ke7 e4 Nd6 Ke3 Nc6 Nf3 c4 Bd1 Na5 Rc3 Rb8 Nd4 Rab7 Bc2 Rb2 h5 gxh5 e5 Nf5+ Bxf5 Rxd2 Kxd2 exf5 Nxf5+ Kf8 Ra3 g6 Nd6 Rb3 Ra1 h4 Rh1 h3 Ne4 Rd3+ Kc2 Nb3 Nd6 Nd4+ Kc1 c3 Nb5,1-0
b3 Nf6 Bb2 g6 Bxf6 exf6 e3 d5 d4 c6 Ne2 Bd6 c4 Be6 cxd5 Bxd5 Nbc3 Qa5 f3 f5 Kf2 Be6 h4 h5 a3 O-O g3 Nd7 b4 Qc7 Nf4 Rae8 Rc1 Qb8 Bd3 Nf6 Qd2 Re7 Rhe1 Rfe8 Bb1 Bc4 Ba2 Bxa2 Qxa2 Qd8 Nxg6 Re6 Nf4 Bxf4 gxf4 Nd5 Rg1+ Kh8 Nxd5 Qxh4+ Kf1 Qh3+ Kf2 Qh2+ Rg2 Qh4+ Kg1 cxd5 Rh2 Rg6+ Kf1 Qg3 Rxh5+ Kg7 Qf2 Rxe3 Qxe3 Qg2+ Ke1 Kf8 Rc8+ Kg7 Rg8+ Kxg8 Qe8+ Kg7 Qh8#,1-0
b3 d5 Bb2 Nf6 Nf3 Bf5 Nh4 Bd7 c4 e6 Nf3 c5 e3 Nc6 cxd5 exd5 Be2 Bd6 O-O O-O d4 cxd4 Nxd4 Re8 Nd2 a6 Rc1 Qe7 Qc2 Rac8 Nxc6 Rxc6 Qb1 Rec8 Rxc6 Rxc6 Rd1 Be5 Bxe5 Qxe5 Nf3 Qc3 Nd4 Rc8 Bf3 a5 h3 g6 Ne2 Qe5 Qd3 b5 Qd2 b4 Bxd5 Bf5 Bc4 Ne4 Qd4 Qxd4 Nxd4 Rd8 Ra1 Bd7 a3 Nd2 axb4 Nxc4 bxc4 axb4 Rb1 Rb8 Kf1 Kf8 Ke2 Ke7 Kd3 Kd6 Ra1 Rb7 Kc2 h5 h4 Ke7 Kb3 f6 Ra6 Be8 g3 Bd7 c5 Be8 Re6+ Kf7 Rb6 Ra7 c6,1-0
b3 e5 Bb2 Nc6 e3 g6 Nf3 Bg7 c4 Nge7 d4 d6 Be2 O-O O-O e4 Nfd2 f5 Nc3 h5 f4 exf3 Nxf3 f4 e4 Bg4 Nd5 Qd7 Qd2 Nxd5 cxd5 Nd8 e5 c6 h3 Bxf3 Bxf3 dxe5 dxe5 Ne6 Rad1 Ng5 e6 Qe7 Bxg7 Kxg7 dxc6 bxc6 Qd7 Rae8 Bxc6 Kh6 Qxe7 Rxe7 Bd5 Nh7 Bc4 g5 Rd7 Rfe8 h4 Nf6 hxg5+ Kxg5 Rd4,1-0
b3 d5 Bb2 Nf6 d3 c5 Nd2 Nc6 Ngf3 Qc7 e4 d4 c3 e5 cxd4 cxd4 Rc1 Bd6 Be2 O-O O-O Qe7 Nc4 Be6 Nxd6 Qxd6 Qc2 Rfc8 Nd2 b5 Qb1 h6 Rc2 Nb4 Rxc8+ Rxc8 Rc1 Rxc1+ Bxc1 Qc5 Ba3 a5 Nf3 Nd7 Ne1 Qc3 Bb2 Qc7 h4 Nc5 Ba3 Nba6 Bc1 b4 Bd2 Qd6 h5 Nc7 f4 exf4 Qc1 Nb5 Bxf4 Qb6 Bxh6 gxh6 Qxh6 Qd8 Nf3 Nc3 Bf1 Nd7 e5 Qf8 Qg5+ Kh8 Qf4 Qg7 Nxd4 Qxe5 Qh6+ Kg8 Nc6 Qc5+ d4 Qxc6 Qg5+ Kf8 Qd8+ Kg7 Qg5+ Kf8 h6 Qe4 Qd8#,1-0
b3 d5 Bb2 Nf6 Nf3 Bf5 Nh4 Bd7 c4 Nc6 cxd5 Nxd5 Nf3 Bf5 d3 Bg6 Nbd2 e5 g3 f6 Rc1 a5 a3 Be7 Bg2 O-O Nh4 Bf7 Nf5 Bd6 Nc4 Ra6 O-O Qd7 Nfxd6 cxd6 d4 exd4 Bxd4 b5 Nb6 Nxb6 Rxc6 Rb8 Qd3 Be8 Rfc1 d5 Qxb5 Qb7 Rxb6 Rxb6 Qxd5+ Qxd5 Bxd5+ Bf7 Bxf7+ Kxf7 Bxb6 Rxb6 Rc7+ Kg6 Rc3 Rd6 a4 Rd1+ Kg2 Rb1 Rc5 Rxb3 Rxa5 Ra3 g4 Kh6 h4 Kg6 e3 Kf7 h5 h6 Ra7+ Kg8 a5 Ra4 f4 Ra3 Kf3 Kf8 a6 Kg8 Ra8+ Kf7 a7,1-0
